Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Mauli Chulha Veg Non Veg Restaurant,"Chinese,Indian,Continental",NA,400,Manish Nagar,Manish Nagar,PLOT NO 8 F.C.I SOCIETY MANISH NAGAR ROAD VAISHNAVI NOVELTY NARENDRA NAGAR NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA-440015,False,1
Blue Lassi Banaraswale,Beverages,NA,300,Pratap Nagar,Pratap Nagar,"101, Shreyash Sai Apartment, B Block, Saraswati vihar colony, Trimurti Nagar",False,1
Ginger Garlic Restro,"Chinese,Indian,North Indian,Biryani",3.8,250,Pratap Nagar,Pratap Nagar,"Trimurti  Nagar  Chowk, Ring Road, Nagpur  440022",False,1
DARPAN RESTAURANT,"Indian,Snacks,Fast Food",NA,100,Ayodhya Nagar,Ayodhya Nagar,"158, Hudkeshwar Rd, Mahatma Gandhi Nagar, Sanmarga Nagar, Nagpur, Maharashtra 440034, India",True,1
WOODEN CASTLE,"Indian,Chinese,Tandoor",NA,350,Pratap Nagar,Pratap Nagar,SHOP NO 02 GROUND FLOOR PLOT NO 14/15 HOUSE NO 4017 DEEPA CO OPERATIVE HOUSING SOCIETY WARD NO 75 CITY SURVEY NO 5 MOUZA BHAMTI TRIMURTI NAGAR NAGPUR NAGPUR URBAN MAHARASHTRA,False,1
The Biryani Wallah,"Biryani,Tandoor",3.2,200,Trimurti Nagar,"Mangalmurti Chowk, Hingna Road","House no 1294/6, Perfect House Society Opposite Raghuvir Restaurant Mangalmurti Square, Hingna Rd, Nagpur, Maharashtra 440022",False,1
Rajeshahi Thali,"Indian,Thalis",3.6,250,Trimurti Nagar,Pratap Nagar,"Shop No 1,Sanchayni Apartment,Opp.Bhange Lawn,Trimurti Nagar,Nagpur Urban,Nagpur-1,Maharashtra,Pincode-440022",False,1
Oval Beans Coffee,"Snacks,Combo,Beverages",NA,500,Trimurti Nagar,Mangalmurti Chowk,"Shop 6, Plot 11, Shriprasad Apartment, Adiwasi Layout, Mangalmurti Square, Near Pratap Nagar, Nagpur",False,1
Yellow Khazana,"North Indian,Biryani,Chinese,Tandoor",NA,250,Trimurti Nagar,Subhash Nagar,"Sanchiti Complex, Flat No. 104, Ring Rd, Trimurtee Nagar, Nagpur, Maharashtra 440022",False,1
Biryani Hub - Hotel Manoj,North Indian,3.8,300,Somalwada,Manish Nagar,"Plot 22, Panchatara Society, Vaishali Nagar Road, Manish Nagar",False,1
